ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	source
GO:0051053	negative regulation of DNA metabolic process	21/991	133/18842	0.157894736842105	3.00207127303627	5.45930796739181	5.99184181187356e-06	0.000220200186586353	0.000220200186586353	FBXO5/PARPBP/CDC6/SLFN11/TIPIN/H1-1/BLM/H1-4/GMNN/TIMELESS/PARP1/PLK1/H1-5/CDT1/AUNIP/NUDT16L1/POLQ/CDKN1A/H1-2/H1-3/RMI2	21	GO:BP
GO:0090232	positive regulation of spindle checkpoint	8/991	21/18842	0.380952380952381	7.24309259526212	6.74443546348511	6.26920552063462e-06	0.000228962288579699	0.000228962288579699	INCENP/AURKB/CDCA8/NDC80/MAD2L1/XRCC3/KNL1/BIRC5	8	GO:BP
GO:0002385	mucosal immune response	12/991	49/18842	0.244897959183673	4.65627381123993	6.03804328340892	6.34722483861082e-06	0.00023038075340143	0.00023038075340143	H2BC13/H2BC8/H2BC5/H2BC11/H2BC26/H2BC18/H2BC7/H2BC9/H2BC17/H2BC12L/H2BC10/H2BC14	12	GO:BP
GO:0031023	microtubule organizing center organization	23/991	155/18842	0.148387096774194	2.82130138992871	5.36457600025802	6.43545298274725e-06	0.000232150083058613	0.000232150083058613	XRCC2/HAUS8/BRCA1/PCLAF/SGO1/BRSK1/CEP72/BRCA2/CCNF/PLK4/CCDC15/WDR62/NDC80/ITGB1BP2/PLK1/NEK2/CDK1/AURKA/XRCC3/KIF15/CCDC102B/KIF11/HAUS5	23	GO:BP
GO:0010638	positive regulation of organelle organization	48/991	466/18842	0.103004291845494	1.95843276180907	4.93613063646251	6.880438188313e-06	0.000246688881385856	0.000246688881385856	CDC20/CRACD/DLGAP5/MYLK3/HRK/SYNPO2/P2RX7/NCAPD2/MTSS1/SYT1/SKA1/ARHGAP35/RAC1/AURKB/RGCC/PLK4/HSPA1B/NCAPG/GPSM2/EREG/CCDC15/MNS1/PDGFB/EDN1/RAD51AP1/ENDOG/PLK1/NEK2/CDK1/SKA3/AURKA/SMAD3/ESPL1/NUSAP1/CCN2/UBE2C/BUB1/MIEF2/GPER1/OCLN/SMC4/NCAPH/TPM1/SMC2/EGF/FEN1/KATNB1/SPAG5	48	GO:BP
GO:0032467	positive regulation of cytokinesis	12/991	50/18842	0.24	4.56314833501514	5.94415232124595	7.95508443801701e-06	0.000283490281791152	0.000283490281791152	KIF14/KIF20B/CDC6/KIF23/INCENP/AURKB/RACGAP1/CDCA8/CDC25B/RAB11A/CIT/BIRC5	12	GO:BP
GO:0051154	negative regulation of striated muscle cell differentiation	10/991	35/18842	0.285714285714286	5.43231944644659	6.18390544354823	8.51776697584201e-06	0.000301713673602115	0.000301713673602115	TMEM119/CCN3/SOX6/RGS2/BDNF/DKK1/BHLHE41/BMP2/FZD7/RGS4	10	GO:BP
GO:0051148	negative regulation of muscle cell differentiation	13/991	60/18842	0.216666666666667	4.11950891355533	5.70227903220029	1.12100617467049e-05	0.000394701575273201	0.000394701575273201	TMEM119/NFATC2/CCN3/SOX6/EREG/RGS2/PDGFB/BDNF/DKK1/BHLHE41/BMP2/FZD7/RGS4	13	GO:BP
GO:0002251	organ or tissue specific immune response	12/991	52/18842	0.230769230769231	4.38764262982225	5.76359423325912	1.22705672643355e-05	0.000429469854251744	0.000429469854251744	H2BC13/H2BC8/H2BC5/H2BC11/H2BC26/H2BC18/H2BC7/H2BC9/H2BC17/H2BC12L/H2BC10/H2BC14	12	GO:BP
GO:0031032	actomyosin structure organization	26/991	196/18842	0.13265306122449	2.52214831442163	5.04719046404186	1.32168801134966e-05	0.000459853580280235	0.000459853580280235	ANLN/MYLK3/MYPN/NEB/SORBS1/RAC1/PGM5/KRT19/RACGAP1/RGCC/TMOD1/TTN/RHPN2/CGNL1/EDN1/ARHGAP28/S1PR1/SMAD3/MYH11/ACTC1/CCN2/F11R/TACSTD2/TPM1/CSRP1/IQGAP3	26	GO:BP
GO:0060841	venous blood vessel development	6/991	12/18842	0.5	9.50655903128153	6.94507452239045	1.46522182294161e-05	0.000506750436951703	0.000506750436951703	ACVRL1/FOXF1/ACVR2B/SEMA3C/CCBE1/VEGFA	6	GO:BP
GO:0061640	cytoskeleton-dependent cytokinesis	20/991	130/18842	0.153846153846154	2.92509508654816	5.18944943158946	1.47371300542077e-05	0.000506750436951703	0.000506750436951703	ANLN/KIF20B/KIF20A/KIF23/KIF4B/INCENP/KIF4A/AURKB/RACGAP1/CDCA8/RAB11A/PLK1/ESPL1/NUSAP1/CENPA/CIT/CEP55/TRIM36/BIRC5/IQGAP3	20	GO:BP
GO:0042325	regulation of phosphorylation	43/991	412/18842	0.104368932038835	1.98437882691799	4.75998661283652	1.48850297356588e-05	0.000508860318870196	0.000508860318870196	CDKN3/MCM7/EMP2/KIF14/TFAP4/BMP4/CCNE2/INHBA/CDC6/KIT/NIBAN1/FIRRM/ERRFI1/KSR1/RAC1/THBS4/BLM/IL20/RASGRP1/GPRC5A/EREG/PDGFB/DNAJC3/CDC25C/VEGFA/RASSF2/TPD52L1/SLIT2/PKMYT1/RBL1/SESN2/TPX2/FLT1/BMP2/FZD7/GPER1/BANK1/PRR5L/CDKN1A/PRKAR2B/CEMIP/EGF/NRG1	43	GO:BP
GO:0044818	mitotic G2/M transition checkpoint	12/991	53/18842	0.226415094339623	4.3048569198256	5.67670453745383	1.51096076694846e-05	0.000513551983217166	0.000513551983217166	BRCA1/DTL/CDC6/BRSK1/BLM/PLK1/CDK1/TICRR/ORC1/CLSPN/CDKN1A/CDC7	12	GO:BP
GO:0055023	positive regulation of cardiac muscle tissue growth	9/991	30/18842	0.3	5.70393541876892	6.07522014589661	1.55900111906528e-05	0.000526834860925508	0.000526834860925508	TBX2/PIM1/GLI1/TGFBR3/CCNB1/EDN1/CDK1/ZFPM2/NRG1	9	GO:BP
