gene	degree	betweenness
GCLC	0	0
INTU	0	0
CENPM	0	0
GPCPD1	0	0
DEK	0	0
GAD1	0	0
HTRA1	0	0
H4C6	0	0
USH2A	0	0
ALDH1L1	0	0
GMNN	0	0
SLC25A18	0	0
LFNG	0	0
KIT	0	0
SALL4	0	0
HSD17B6	0	0
E2F8	0	0
PRKAB2	0	0
JAKMIP3	0	0
C5orf34	0	0
KRT80	0	0
TTPAL	0	0
RECQL4	0	0
DHRS3	0	0
FAM225B	0	0
C2CD2	0	0
SGCD	0	0
CDC45	0	0
LINC02102	0	0
SCN7A	0	0
LRRC20	0	0
CDC20	0	0
NCAPG2	0	0
SNAP25	0	0
SERTM2	0	0
H2AC13	0	0
POLE2	0	0
APCDD1	0	0
MCM5	0	0
TEDC1	0	0
RFPL4B	0	0
LINC01429	0	0
CBR3	0	0
SSU72-AS1	0	0
ARHGAP35	0	0
FAM118A	0	0
CFAP298-TCP10L	0	0
ESCO2	0	0
H3C10	0	0
SLC22A23	0	0
AKAP11	0	0
NFKBIA	0	0
KIF13B	0	0
H4C12	0	0
ZNF367	0	0
RAB11A	0	0
FAM180A	0	0
EDN1	0	0
LINC00517	0	0
RASSF2	0	0
MIEF2	0	0
IRS1	0	0
LINC02516	0	0
CXADR	0	0
RIN1	0	0
SYNE3	0	0
C2orf74	0	0
HSPA6	0	0
ARHGAP28	0	0
ANKRD65	0	0
MISP	0	0
CENPE	0	0
POLQ	0	0
MYLIP	0	0
RAB40A	0	0
PRIM1	0	0
SERPINB2	0	0
H2AC8	0	0
SLFNL1-AS1	0	0
RPEP1	0	0
CLSTN2	0	0
FYB1	0	0
LIG1	0	0
SHROOM3	0	0
PLCE1	0	0
NR3C2	0	0
 
