# Gyne-DEG Atlas Machine Learning Gene Panel (RandomForest)
# CV Type: LeaveOneDatasetOut
# Mean AUROC: 0.6205
# Fold Details: GSE102293=0.8750, GSE106724=0.5000, GSE114419=0.5000, GSE137684=0.3125, GSE199225=0.5750, GSE207000=0.9444, GSE262302=0.5000, GSE286315=0.4444, GSE316028=1.0000, GSE34526=0.1667, GSE40007=0.5000, GSE44207=0.5000, GSE47360=0.6944, GSE51981=0.6889, GSE56854=0.5000, GSE6364=0.3824, GSE6798=0.8462, GSE75425=0.8750, GSE8157=0.9846
# Total samples: 397 (Cases: 206, Controls: 191)
# Total features: 1247
gene	coefficient	mean_abs_shap
CFTR	0.0010634917297646961	0.0010634917297646961
SLCO2A1	0.001063226831405109	0.001063226831405109
WFS1	0.0010620231908549896	0.0010620231908549896
HAAO	0.0010618938190090522	0.0010618938190090522
CDCA5	0.0010618451823552867	0.0010618451823552867
CCNF	0.001060991500948015	0.001060991500948015
CAPN6	0.0010600027317350096	0.0010600027317350096
AGBL3	0.0010593660468118014	0.0010593660468118014
ANK2	0.0010559604385227252	0.0010559604385227252
HIVEP3	0.0010548070260631985	0.0010548070260631985
MCM4	0.001048635630189369	0.001048635630189369
POLR3B	0.0010476442522620586	0.0010476442522620586
ABCA1	0.0010419079055571743	0.0010419079055571743
ZNF432	0.001038639146890293	0.001038639146890293
UHRF1	0.0010322805752282858	0.0010322805752282858
TIPIN	0.0010314597975353448	0.0010314597975353448
SIK1	0.001028959820936642	0.001028959820936642
CCDC28A-AS1	0.001028399986708383	0.001028399986708383
GINS3	0.0010277636431093142	0.0010277636431093142
LOXL1	0.0010264692458224103	0.0010264692458224103
CHRNB1	0.0010260060505606352	0.0010260060505606352
P2RX7	0.0010235338795765347	0.0010235338795765347
ADAMTS13	0.0010230136292530994	0.0010230136292530994
FZD7	0.0010221432221253655	0.0010221432221253655
VWF	0.0010197590091170026	0.0010197590091170026
MAPK14	0.001017542290898961	0.001017542290898961
ASB13	0.001014542028722644	0.001014542028722644
ZNF789	0.0010090525800994703	0.0010090525800994703
C1QTNF2	0.0010072954670114632	0.0010072954670114632
RNASEH2A	0.0010066075823354588	0.0010066075823354588
KRT7	0.00100561095841421	0.00100561095841421
ARRDC3	0.001004828994589862	0.001004828994589862
TNFSF4	0.0010039694630875242	0.0010039694630875242
TSPAN2	0.001003188944875438	0.001003188944875438
SALL4	0.001001154955300758	0.001001154955300758
HLX	0.0010005345203524408	0.0010005345203524408
FAM118A	0.0009994695033910235	0.0009994695033910235
NOTCH2	0.0009936687709319833	0.0009936687709319833
WNT9A	0.0009921851464190182	0.0009921851464190182
SLIT2-IT1	0.0009921653111541063	0.0009921653111541063
PPP1R13L	0.0009881475415518942	0.0009881475415518942
HNRNPUL1	0.0009850741316266894	0.0009850741316266894
PLXDC2	0.0009831056430069738	0.0009831056430069738
HRK	0.0009829656563937498	0.0009829656563937498
RECQL4	0.0009820246332577463	0.0009820246332577463
GAD1	0.000979380715001037	0.000979380715001037
IL19	0.000977946659632841	0.000977946659632841
NCAPH	0.0009772367465068139	0.0009772367465068139
NPTN-IT1	0.0009752230330367943	0.0009752230330367943
SYT16	0.0009733125901704925	0.0009733125901704925
APOBEC3B	0.0009714773009978496	0.0009714773009978496
LINC00339	0.0009701487284144297	0.0009701487284144297
TRAIP	0.0009695278553749692	0.0009695278553749692
GDF5	0.0009681085692910982	0.0009681085692910982
F11R	0.0009644628406299423	0.0009644628406299423
PAQR4	0.0009634951608317668	0.0009634951608317668
PSMC3IP	0.0009620975736468413	0.0009620975736468413
RTN3	0.0009613969375630945	0.0009613969375630945
PELO	0.0009607495213724088	0.0009607495213724088
ANOS1	0.0009573483740479892	0.0009573483740479892
OCLN	0.000956819166880976	0.000956819166880976
ITIH5	0.0009560229964818305	0.0009560229964818305
SORBS1	0.0009538836503842277	0.0009538836503842277
NFKBIA	0.0009532558278966333	0.0009532558278966333
CELF6	0.0009493860082381492	0.0009493860082381492
GPR183	0.0009474013972516052	0.0009474013972516052
FZD5	0.0009436096184975368	0.0009436096184975368
NUSAP1	0.0009421341537516388	0.0009421341537516388
AGFG1	0.0009410503106613393	0.0009410503106613393
ORC1	0.0009385732877218222	0.0009385732877218222
MBNL3	0.0009383544080823393	0.0009383544080823393
AKAP5	0.0009344211105047341	0.0009344211105047341
BEND6	0.0009328888473420917	0.0009328888473420917
SPTBN5	0.0009324777621480288	0.0009324777621480288
MYLK3	0.0009319509450743035	0.0009319509450743035
SUV39H1	0.0009293855597655089	0.0009293855597655089
CD274	0.0009282881501324384	0.0009282881501324384
KIF20A	0.0009238092960972749	0.0009238092960972749
TNFSF12-TNFSF13	0.0009225801065128014	0.0009225801065128014
PIM1	0.0009218873720191708	0.0009218873720191708
KATNB1	0.0009192514470384358	0.0009192514470384358
EREG	0.0009189304928187565	0.0009189304928187565
VLDLR	0.0009188282281881466	0.0009188282281881466
WDHD1	0.0009181266937363817	0.0009181266937363817
F2R	0.0009174944558315243	0.0009174944558315243
EML6	0.0009116248912545351	0.0009116248912545351
PASK	0.0009114595963724088	0.0009114595963724088
ERRFI1	0.0009087465778407308	0.0009087465778407308
GRHL1	0.0009083731101353868	0.0009083731101353868
KDM7A	0.0009061489183433348	0.0009061489183433348
MTBP	0.0008996558689084509	0.0008996558689084509
ACTA2	0.0008984916265939544	0.0008984916265939544
KIF18A	0.000896510174946661	0.000896510174946661
NR2C2AP	0.0008952787604052063	0.0008952787604052063
ITGB8	0.0008912014802171486	0.0008912014802171486
TROAP	0.0008908107100658397	0.0008908107100658397
DSE	0.0008906859897487974	0.0008906859897487974
RIPOR3	0.0008890782150715054	0.0008890782150715054
HAUS8	0.0008868121628932647	0.0008868121628932647
IL20	0.0008844886919844203	0.0008844886919844203
GMNN	0.0008838516853677674	0.0008838516853677674
FANCD2	0.0008821693331723744	0.0008821693331723744
S100A4	0.000881420362801632	0.000881420362801632
DIO2	0.000881262199574782	0.000881262199574782
BRCA2	0.0008798993450601392	0.0008798993450601392
H1-2	0.0008790227050010443	0.0008790227050010443
PGM2L1	0.0008783689798022895	0.0008783689798022895
ZNF90	0.00087735878096292	0.00087735878096292
NDC1	0.0008749731480182276	0.0008749731480182276
SPSB1	0.0008730398238972486	0.0008730398238972486
NCAPG	0.0008706249938115782	0.0008706249938115782
SLC68A1	0.0008691154568284171	0.0008691154568284171
PLEKHH1	0.000868211343759906	0.000868211343759906
TMEM97	0.0008676956097814384	0.0008676956097814384
MPZL3	0.0008674556698938789	0.0008674556698938789
