gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
AC005162.4	0.323635747936578	1	1	2	UP
AC005224.2	0.013226941968152	1	1	2	UP
AC005224.3	1.25178287663853	1	1	1	UP
AC005229.4	0.068180939155216	1	1	1	UP
AC005253.1	-0.0884223438283428	1	1	1	DOWN
AC005253.4	-0.450237033049222	1	1	1	DOWN
AC005256.1	0.502561350624267	1	1	3	UP
AC005261.1	0.168590749176674	1	1	1	UP
AC005264.1	1.36988384843961	1	1	1	UP
AC005280.1	-0.536945312180509	1	1	1	DOWN
AC005280.2	-0.0215457530014589	1	1	1	DOWN
AC005301.9	-0.164642282290394	1	1	1	DOWN
AC005306.3	-0.109903618580251	1	1	3	UP
AC005307.1	0.555578129897251	1	1	1	UP
AC005329.3	0.145739761205308	1	1	1	UP
AC005329.7	-0.162873999193013	1	1	1	DOWN
AC005332.1	-0.230545146339511	1	1	1	DOWN
AC005332.2	-0.295854777900196	1	1	1	DOWN
AC005332.3	-0.129121568003839	1	1	1	DOWN
AC005332.4	0.376240006592154	1	1	1	UP
AC005332.5	0.478906234626098	1	1	1	UP
AC005332.6	0.0947575782860068	1	1	1	UP
AC005332.7	-0.0757500196139519	1	1	1	DOWN
AC005387.1	-0.316465971803552	1	1	1	DOWN
AC005387.2	-0.638609467353975	1	1	1	DOWN
AC005476.2	-0.92937167732418	1	1	1	DOWN
